window_idx,pred_command,confidence,pose0,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16,pose17,pose18,pose19
9358,0,0.2495,0.1884,0.1425,0.5933,0.6469,-0.1018,0.1453,1.7805,0.5036,-0.1187,0.6922,1.7265,0.3637,-0.0727,0.4342,1.0265,0.6079,-0.1726,0.0448,0.4062,0.2857
9359,0,0.2125,0.2037,0.1208,0.5976,0.6787,-0.1179,0.1317,1.6804,0.4903,-0.1690,0.6293,1.5693,0.4184,-0.1106,0.3645,1.0457,0.6227,-0.1962,0.0364,0.4121,0.2853
9360,0,0.2697,0.2136,0.1107,0.5951,0.6906,-0.1123,0.1461,1.6277,0.4792,-0.1700,0.6240,1.4652,0.4612,-0.1167,0.3629,1.0358,0.6315,-0.2005,0.0503,0.4031,0.2880
9361,0,0.2997,0.2188,0.1032,0.5971,0.7106,-0.1048,0.1551,1.6181,0.4761,-0.1600,0.6018,1.4616,0.4725,-0.1164,0.3628,1.0327,0.6364,-0.1995,0.0577,0.3970,0.2878
9362,0,0.3176,0.2166,0.0980,0.5990,0.7226,-0.1002,0.1610,1.6152,0.4757,-0.1594,0.5964,1.4603,0.4789,-0.1175,0.3642,1.0306,0.6392,-0.2013,0.0584,0.3970,0.2878
9363,0,0.4896,0.2673,0.0503,0.5712,0.6243,-0.0980,0.1649,1.5775,0.4865,-0.1578,0.5914,1.3910,0.5054,-0.1303,0.3359,1.0188,0.6484,-0.2124,0.0027,0.4374,0.3238
9364,0,0.6964,0.4669,-0.0532,0.4622,0.0996,-0.1041,0.2296,1.5840,0.5336,-0.1461,0.6648,1.2244,0.4807,-0.1220,0.2739,0.9928,0.6866,-0.1903,-0.1680,0.5349,0.4267
9367,0,0.1602,0.3002,-0.0288,0.4415,0.0800,-0.1180,-0.0608,1.1138,0.4652,-0.1760,0.5030,0.9250,0.3391,-0.1057,0.2184,0.7064,0.5308,-0.1800,-0.0725,0.2755,0.1901
9368,0,0.1513,0.3051,-0.0733,0.2839,-0.0518,-0.0940,-0.0440,0.6262,0.2416,-0.1729,0.2576,0.6005,0.2565,-0.1070,0.1215,0.4584,0.3518,-0.1510,-0.0067,0.1456,0.1017
9369,0,0.3843,0.3840,-0.0873,0.2999,-0.1169,-0.1357,0.0315,1.0464,0.4081,-0.1798,0.3898,0.8950,0.2655,-0.0867,0.1756,0.6614,0.4771,-0.1452,0.0199,0.2267,0.2040
9370,0,0.1949,0.3327,-0.0694,0.2059,-0.1801,-0.1315,0.0211,0.9186,0.3881,-0.1358,0.4038,0.7340,0.1136,-0.0391,0.1812,0.5264,0.3806,-0.0856,-0.0247,0.1992,0.1741
9371,0,0.2966,0.2277,-0.0491,0.1659,-0.1168,-0.1006,0.0110,0.6809,0.2728,-0.0996,0.2912,0.4960,0.0929,-0.0275,0.1342,0.3487,0.2573,-0.0606,-0.0210,0.1236,0.0942
9372,0,0.1847,0.2612,-0.0554,0.1903,-0.1293,-0.1272,0.0145,0.8124,0.3642,-0.1215,0.3549,0.5763,0.0892,-0.0298,0.1742,0.4122,0.3046,-0.0601,-0.0274,0.1518,0.1150
9373,0,0.2674,0.0609,-0.0166,0.0434,-0.0325,-0.0484,0.0032,0.2454,0.1683,-0.0377,0.1192,0.1599,-0.0082,-0.0011,0.0737,0.1181,0.0874,0.0003,-0.0190,0.0554,0.0402
9374,0,0.2856,0.0838,0.1056,0.2334,0.2286,-0.0354,0.0324,0.7003,0.1852,-0.0431,0.2367,0.7244,0.1305,-0.0279,0.1137,0.4531,0.2457,-0.0645,-0.0331,0.1646,0.0958
9375,0,0.2184,0.1870,0.2252,0.5232,0.5136,-0.0738,0.0889,1.5446,0.4061,-0.0976,0.5221,1.5956,0.3102,-0.0622,0.2557,1.0032,0.5451,-0.1445,-0.0678,0.3638,0.2098
9376,2,0.2400,0.2226,0.2312,0.5869,0.6022,-0.0749,0.1191,1.6812,0.4400,-0.1102,0.5634,1.7426,0.3639,-0.0690,0.2812,1.1000,0.6015,-0.1597,-0.0684,0.3965,0.2300
9377,2,0.2248,0.2431,0.2223,0.5947,0.6458,-0.0737,0.1287,1.6716,0.4325,-0.1128,0.5529,1.7442,0.3696,-0.0704,0.2772,1.1012,0.6050,-0.1601,-0.0673,0.3979,0.2281
9378,2,0.1879,0.2500,0.2197,0.5961,0.6620,-0.0755,0.1321,1.6693,0.4243,-0.1141,0.5452,1.7461,0.3700,-0.0701,0.2754,1.1030,0.6048,-0.1603,-0.0664,0.4029,0.2218
9379,2,0.1865,0.2522,0.2197,0.5962,0.6685,-0.0767,0.1302,1.6697,0.4229,-0.1158,0.5353,1.7461,0.3725,-0.0707,0.2722,1.1038,0.6040,-0.1600,-0.0653,0.4023,0.2215
9380,2,0.2206,0.2503,0.2188,0.5973,0.6699,-0.0767,0.1298,1.6664,0.4261,-0.1182,0.5287,1.7427,0.3779,-0.0712,0.2729,1.1010,0.6048,-0.1595,-0.0596,0.3969,0.2266
9381,2,0.1998,0.2484,0.2156,0.6004,0.6696,-0.0764,0.1304,1.6623,0.4295,-0.1190,0.5250,1.7404,0.3819,-0.0708,0.2748,1.0994,0.6058,-0.1588,-0.0545,0.3930,0.2313
9382,2,0.2207,0.2490,0.2148,0.6033,0.6699,-0.0780,0.1290,1.6629,0.4296,-0.1193,0.5227,1.7414,0.3846,-0.0724,0.2746,1.1018,0.6052,-0.1596,-0.0531,0.3920,0.2319
9383,1,0.2044,0.2545,0.2057,0.6003,0.6665,-0.0806,0.1283,1.6621,0.4294,-0.1212,0.5190,1.7409,0.3877,-0.0751,0.2759,1.1019,0.6044,-0.1626,-0.0502,0.3915,0.2298
9384,0,0.2450,0.3984,0.0805,0.5232,0.2547,-0.0856,0.1664,1.5612,0.4358,-0.1315,0.5534,1.5637,0.4268,-0.1008,0.2747,1.0674,0.6319,-0.1962,-0.0343,0.3695,0.2456
9385,0,0.2783,0.5783,-0.0468,0.4348,-0.2497,-0.0811,0.2354,1.4320,0.4260,-0.1038,0.6035,1.2921,0.5015,-0.1280,0.2648,1.0296,0.6833,-0.2128,-0.0664,0.4292,0.3530
9386,0,0.2097,0.6323,-0.0514,0.4045,-0.3458,-0.0743,0.2674,1.4013,0.4104,-0.1033,0.5785,1.1806,0.5546,-0.1351,0.2219,1.0280,0.7172,-0.1824,-0.1836,0.5965,0.5253
9387,0,0.1819,0.6502,-0.0400,0.3963,-0.3458,-0.0720,0.2759,1.4065,0.4076,-0.1377,0.4978,1.1615,0.5756,-0.1426,0.1638,1.0354,0.7293,-0.1632,-0.2594,0.7040,0.6412
9388,2,0.1931,0.6499,-0.0355,0.4140,-0.3458,-0.0719,0.2966,1.4085,0.4052,-0.1502,0.4706,1.1589,0.5852,-0.1474,0.1494,1.0431,0.7282,-0.1613,-0.2512,0.7220,0.6647
9389,0,0.2022,0.6374,-0.0386,0.4443,-0.3403,-0.0751,0.3114,1.4002,0.4075,-0.1753,0.4812,1.1545,0.5972,-0.1541,0.1546,1.0453,0.7210,-0.1731,-0.2116,0.6728,0.5967
9390,0,0.1829,0.5970,-0.0643,0.4786,-0.3265,-0.0639,0.2754,1.3727,0.4233,-0.2056,0.3006,1.1433,0.6465,-0.1796,0.0945,1.0007,0.6958,-0.1963,-0.1231,0.5353,0.4812
9391,3,0.1570,0.5520,-0.1203,0.4980,-0.3249,-0.0511,0.2691,1.3257,0.4325,-0.2365,0.1854,1.1294,0.6961,-0.2108,0.0337,0.9297,0.6621,-0.2400,-0.0360,0.3718,0.3467
9394,0,0.4632,0.1841,-0.0516,0.1718,-0.0348,-0.0596,0.0766,0.6187,0.2529,-0.0743,0.2127,0.4787,0.1583,-0.0313,0.0815,0.3633,0.2661,-0.0655,0.0027,0.1342,0.1338
9395,0,0.2704,0.4014,-0.1645,0.3080,-0.1812,-0.1319,0.2808,1.4483,0.7372,-0.1295,0.6724,1.0239,0.1620,0.0318,0.3733,0.7328,0.5894,-0.0166,-0.0098,0.3635,0.3426
9397,0,0.3335,0.2627,-0.0629,0.1367,-0.1418,-0.0595,0.1258,0.8042,0.4033,-0.0660,0.3396,0.5556,0.0988,0.0068,0.1789,0.4003,0.3388,-0.0122,-0.0311,0.2393,0.2631
9400,0,0.2173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9401,0,0.1902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9402,2,0.1923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9403,0,0.2157,0.0178,0.0226,0.0406,0.0529,-0.0081,0.0089,0.1447,0.0348,-0.0266,0.0506,0.0963,0.1148,0.0023,0.0065,0.1028,0.1148,-0.0080,-0.0221,0.0512,0.0360
9404,0,0.2208,0.1305,0.1637,0.3109,0.4041,-0.0155,0.0809,1.0860,0.2617,-0.2005,0.3889,0.7341,0.8753,0.0189,0.0538,0.7820,0.8753,-0.0616,-0.1605,0.3909,0.2728
9405,0,0.2410,0.2329,0.2724,0.5317,0.6951,-0.0433,0.1483,1.8521,0.4446,-0.3563,0.6594,1.2567,1.5062,0.0253,0.0846,1.3417,1.5062,-0.1114,-0.2827,0.6782,0.4687
9406,0,0.2346,0.3388,0.0973,0.4377,0.2491,0.0135,0.2179,1.5851,0.4731,-0.1617,0.4919,1.1072,1.0102,-0.0391,0.0977,1.1120,1.0805,-0.1377,-0.1855,0.5658,0.4577
9407,0,0.3238,0.5545,-0.1029,0.2874,-0.2676,0.0175,0.3138,1.6403,0.6231,0.0037,0.6196,1.1094,0.2583,-0.0250,0.2572,0.8145,0.6616,-0.1624,-0.1215,0.3521,0.3288
9410,0,0.3636,0.0302,0.0464,0.3698,0.2848,0.0364,0.2501,0.8532,0.2798,0.0415,0.4587,0.7169,0.1193,-0.0434,0.3428,0.5222,0.4704,-0.1136,0.1373,0.1372,0.1499
9411,0,0.2159,0.1601,0.0958,0.5692,0.5450,0.0099,0.3472,1.5511,0.4500,-0.0379,0.6498,1.3750,0.3779,-0.0821,0.4745,0.9481,0.7007,-0.1960,0.1641,0.2863,0.2652
9412,0,0.2153,0.2922,0.0677,0.5332,0.5316,-0.0467,0.2855,1.5907,0.4598,-0.1353,0.5221,1.4054,0.5464,-0.1138,0.3783,1.0107,0.6820,-0.2193,0.1181,0.3214,0.2750
9413,0,0.4422,0.3946,0.0081,0.5013,0.3222,-0.0647,0.2536,1.4908,0.4723,-0.1516,0.4397,1.3047,0.6029,-0.1434,0.2929,1.0010,0.6815,-0.2405,0.0791,0.3087,0.2556
9414,0,0.6821,0.4647,-0.0998,0.3516,-0.0898,-0.0107,0.2888,1.2983,0.4294,-0.1133,0.3833,1.1150,0.6149,-0.1674,0.1978,0.9843,0.7084,-0.2684,0.0673,0.2665,0.2497
9415,0,0.2906,0.4831,-0.1980,0.1860,-0.3459,-0.0132,0.3219,1.4999,0.4564,-0.0943,0.6304,1.1640,0.3237,-0.0551,0.3206,0.9150,0.7404,-0.1934,0.0253,0.3063,0.3058
9417,0,0.3899,0.2185,-0.0536,0.1685,0.3329,-0.0672,0.0321,0.6391,0.2291,-0.0758,0.2929,0.4891,0.0865,-0.0130,0.1272,0.3804,0.2863,-0.0412,-0.0363,0.1559,0.1408
9419,0,0.2176,0.0693,-0.0204,0.0567,0.0366,-0.0511,-0.0023,0.3110,0.1893,-0.0326,0.1547,0.1974,-0.0111,0.0183,0.1029,0.1746,0.1253,0.0104,-0.0363,0.0987,0.0804
9421,1,0.2230,0.0128,0.3841,0.5383,0.6459,0.0771,0.0389,1.4383,0.6501,0.1639,0.5621,1.5525,1.1356,0.2636,0.6534,1.6098,1.0764,0.1189,0.2217,1.4742,1.3949
9422,0,0.1451,0.0695,0.4123,0.5742,0.8526,0.0846,0.1510,1.8572,0.9730,0.1668,0.6419,1.7816,1.3517,0.2812,0.7166,1.7895,1.1916,0.1206,0.2504,1.6144,1.5209
9426,2,0.2899,0.0489,0.4064,0.5200,1.0647,0.0518,0.4114,1.9400,1.1509,0.1472,0.9271,1.8607,1.4184,0.1570,1.0292,1.8118,1.3583,0.0515,0.4454,1.7542,1.4634
9427,2,0.2028,-0.0307,0.4445,0.4804,0.7803,-0.0081,0.0650,1.2096,0.5910,0.1488,0.9263,1.8158,1.2385,0.1887,1.0682,1.7363,1.3278,0.0877,0.4803,1.6577,1.4638
9432,0,0.4105,0.0332,0.4241,0.5807,0.9343,0.0404,0.1949,1.8053,0.7944,0.1265,0.7638,1.7622,1.2163,0.2673,0.7945,1.7679,1.1419,0.0702,0.2801,1.5816,1.4621
9433,2,0.1543,-0.0449,0.3718,0.4929,0.7475,0.0274,0.1630,1.3161,0.5490,0.1101,0.8046,1.5227,1.1923,0.2600,0.8715,1.5832,0.9503,0.0365,0.3925,1.4705,1.0398
9434,2,0.1521,-0.0399,0.4544,0.4004,0.4659,0.0303,0.0041,1.1465,0.5212,0.1320,0.6966,1.5630,1.0585,0.2495,0.8229,1.6881,0.9286,0.0724,0.2939,1.4727,1.0991
9435,0,0.1969,0.1116,0.5388,0.3365,0.8217,0.0684,0.2250,1.7950,1.1963,0.1526,0.6448,1.8413,1.1091,0.2676,0.7927,1.9489,1.2920,0.1080,0.1708,1.6612,1.5214
9437,0,0.3094,0.0535,0.3671,0.2662,0.6759,0.0258,0.0845,1.2364,0.7491,0.1138,0.4497,1.2191,0.8940,0.1755,0.6521,1.3723,0.8711,0.0936,0.2032,1.1785,1.0646
9438,0,0.3959,0.0615,0.3892,0.3151,0.6823,0.0456,0.1849,1.4532,0.9538,0.1353,0.5791,1.1344,1.1405,0.1745,0.7948,1.4124,0.9547,0.0801,0.3066,1.2215,1.1405
9439,2,0.1475,0.0971,0.4939,0.4197,1.0131,0.0640,0.3196,1.9463,1.3607,0.1824,0.8214,1.4826,1.5182,0.2291,1.1051,1.8368,1.3341,0.0983,0.4585,1.6106,1.5209
9441,2,0.2069,0.0241,0.4680,0.4813,0.7279,0.0579,0.2527,1.4248,0.6635,0.0097,0.9442,1.9615,-0.0572,0.1724,1.2555,1.6563,1.5137,0.1010,0.6218,1.6167,1.5209
9445,0,0.2095,0.0468,0.4360,0.4384,0.7376,0.1533,0.3176,1.3095,0.6404,0.1147,1.0427,1.8765,1.4503,0.2121,1.1580,1.8010,1.2541,0.1372,0.4986,1.7088,1.5209
9446,0,0.1695,0.0322,0.4130,0.4767,1.0078,0.1453,0.6781,1.9601,1.2038,0.1205,1.0778,1.8617,1.5058,0.2102,1.1863,1.7461,1.3097,0.0899,0.5451,1.6885,1.5209
9450,0,0.1826,0.0282,0.3706,0.6392,0.7906,0.0596,0.3741,1.8590,0.9423,0.1615,0.9097,0.9270,0.7225,0.2147,1.1266,1.5188,1.0532,-0.0487,0.6241,1.6172,1.1426
9451,0,0.2996,-0.0579,0.3064,0.7800,0.9052,-0.0241,0.7098,1.9299,0.9703,0.0662,1.2775,1.6659,1.4515,0.2098,1.2963,1.5840,1.4407,-0.4935,0.8506,1.6572,0.5788
9452,0,0.1525,-0.0544,0.2757,0.7692,0.9333,0.0008,0.7485,1.9204,0.9659,0.0327,1.3336,1.5953,1.5209,0.2121,1.3335,1.5100,1.5206,-0.3784,0.8983,1.6189,0.7153
9453,3,0.1515,-0.0147,0.2180,0.5146,0.8436,0.0551,0.5516,1.5288,0.7923,0.0451,0.9971,1.2451,1.1631,0.0867,0.9971,1.2325,1.1261,0.0056,0.6272,1.2600,1.0564
9455,0,0.1918,0.0602,0.2501,0.3686,0.7765,0.0309,0.3504,1.4101,0.6444,0.0631,0.7557,1.3648,0.7708,0.1613,0.8720,1.3486,0.5760,0.0865,0.4986,1.2432,1.0888
9456,0,0.2760,0.0828,0.3414,0.5115,1.1027,0.0518,0.5088,1.9697,0.9189,0.0896,1.0807,1.9489,1.1187,0.2306,1.2201,1.8597,0.8612,0.1172,0.6815,1.7312,1.5209
9459,0,0.3542,-0.0865,0.2968,0.7273,1.1745,0.1230,0.5885,1.9697,0.8958,0.0689,1.1248,1.9376,1.0638,0.1320,1.0879,1.8290,1.0066,-0.0500,0.6679,1.0667,0.8351
9460,0,0.2190,-0.0452,0.2877,0.6814,1.1745,0.0963,0.5667,1.9691,0.8727,0.0782,1.1268,1.9342,1.0395,0.1802,1.1640,1.8091,1.1031,-0.0073,0.8454,1.6529,1.4049
9461,1,0.2606,-0.0846,0.2512,0.7789,1.0954,0.0630,0.6332,1.9391,0.8418,0.1392,1.1933,1.8302,1.0285,0.3025,1.2344,1.5944,1.3578,-0.2196,0.9135,1.6779,1.1268
9466,0,0.1608,0.0300,0.4860,0.4752,0.8365,0.0753,0.3113,1.7212,0.9227,0.1014,1.0198,1.9081,1.3889,0.2013,1.1181,1.8324,1.2445,0.1062,0.6502,1.6152,1.5091
9467,1,0.2737,0.0360,0.4513,0.5114,0.9332,0.0931,0.4915,1.9697,1.1304,0.0410,1.0778,1.9434,1.5027,0.1949,1.1542,1.7984,1.2625,0.0874,0.6920,1.5964,1.5209
9468,1,0.1867,0.0380,0.3867,0.5551,0.9203,0.0912,0.4915,1.9697,1.0862,0.0097,1.0884,1.9689,1.5208,0.1893,1.1630,1.7926,1.2595,0.0848,0.7021,1.5894,1.5209
9469,1,0.2137,0.0607,0.3304,0.5577,0.9438,0.0932,0.4873,1.9697,1.0545,0.0097,1.0883,1.9688,1.5208,0.1893,1.1629,1.7926,1.2595,0.0848,0.7021,1.5894,1.5209
9473,0,0.2207,0.0224,0.3167,0.6031,1.0398,0.0938,0.5575,1.9669,0.9358,-0.0029,1.0496,1.8994,1.1534,0.1269,1.0357,1.8806,1.1435,-0.0127,0.7416,1.3645,1.3087
9474,0,0.2539,0.0582,0.3110,0.5687,1.0584,0.0501,0.5745,1.9697,0.9419,-0.2111,1.0881,1.8301,1.3139,0.1114,1.0947,1.8780,1.2023,-0.0120,0.8043,1.3814,1.4846
9477,0,0.2841,0.0430,0.2192,0.5878,1.1588,0.1225,0.4985,1.9697,0.8054,0.1643,0.9834,1.9498,1.0351,0.1897,0.7517,1.8863,1.1227,0.0023,0.2571,1.4283,1.2618
9478,2,0.1695,0.0616,0.1984,0.5762,1.1745,0.1165,0.5595,1.9697,0.7913,0.1657,1.0497,1.9631,0.9963,0.2031,0.9054,1.8660,1.1248,0.0286,0.3106,1.5199,1.5193
9482,1,0.3675,-0.0362,0.2117,0.6743,1.0769,0.0958,0.5224,1.9697,0.7338,0.0624,1.0092,1.9284,1.0121,0.0868,0.7905,1.6919,1.0150,-0.1464,0.2327,0.7011,0.5559
9483,1,0.4259,0.0039,0.2362,0.6578,1.1000,0.1083,0.5006,1.9697,0.7884,0.0434,0.9950,1.9519,1.0132,0.1600,0.8719,1.8265,1.1084,-0.0538,0.3793,1.4855,1.3580
9484,1,0.2244,0.0064,0.2535,0.6617,1.1213,0.1090,0.5002,1.9697,0.8385,0.0463,0.9930,1.9527,1.0499,0.1791,0.8833,1.8695,1.1524,-0.0061,0.4018,1.6920,1.5209
9488,2,0.1554,0.0772,0.4409,0.4245,1.0435,0.1000,0.6695,1.9699,1.3285,0.2277,1.0276,1.9400,1.1880,0.0316,1.0562,1.8601,1.3382,0.0652,0.5235,1.6774,1.5209
9489,2,0.2877,0.0534,0.4057,0.4588,1.0984,0.0853,0.7276,1.9698,1.2541,0.3488,1.1371,1.9552,0.9139,-0.0924,1.1199,1.7418,1.3876,0.0566,0.6148,1.6290,1.5209
9492,0,0.2064,-0.0343,0.4070,0.4773,0.6814,0.0570,0.4860,1.5815,0.9372,0.0680,0.9566,1.4984,1.2579,0.3148,1.0184,1.3597,1.1932,-0.0924,0.6199,1.5450,0.9750
9493,2,0.1805,-0.0045,0.4527,0.5080,1.0525,0.0907,0.6950,1.9697,1.2765,0.0978,1.1546,1.7876,1.2702,0.2866,1.1908,1.6522,1.4756,-0.0159,0.6825,1.7112,1.3533
9494,2,0.2482,0.0143,0.4403,0.4653,1.1326,0.0968,0.7251,1.9701,1.2818,0.1097,1.1778,1.8291,0.9312,0.1955,1.1761,1.7272,1.4289,0.0621,0.6522,1.5990,1.5211
9495,2,0.2628,-0.0000,0.3201,0.3180,0.7248,0.0636,0.3948,1.2644,0.7230,0.0669,0.8151,1.3014,0.6838,0.1315,0.8285,1.2133,0.9831,0.0604,0.4603,1.1092,1.0601
9496,0,0.1912,-0.0096,0.3631,0.3073,0.5485,0.0702,0.2281,1.1900,0.6139,0.0558,0.7718,1.3049,0.9736,0.1385,0.8066,1.2465,0.9467,0.0862,0.4346,1.0992,1.0486
9497,0,0.1664,0.0216,0.4923,0.4331,0.9436,0.1105,0.5290,1.8943,1.1806,0.0817,1.1178,1.8447,1.4205,0.2023,1.1512,1.7699,1.3738,0.1016,0.6287,1.5506,1.5094
9498,2,0.2486,0.0496,0.4653,0.4280,1.0692,0.1052,0.6503,1.9684,1.2750,0.0805,1.1369,1.8326,1.4382,0.1882,1.1641,1.7520,1.3925,0.0898,0.6476,1.5362,1.5209
9499,2,0.2499,0.0264,0.4520,0.4696,1.0613,0.1275,0.6872,1.9702,1.2555,-0.0632,1.1851,1.8062,1.3873,0.1649,1.2037,1.6978,1.4217,0.0903,0.7069,1.4934,1.5209
9501,0,0.2180,0.0104,0.5440,0.3708,0.6319,0.1302,0.1419,1.2419,0.5178,0.1030,0.9999,1.9219,1.3249,0.1974,1.0854,1.8680,1.2459,0.1408,0.5458,1.6169,1.4865
9502,0,0.2017,0.0624,0.5151,0.3915,0.8963,0.1278,0.5343,1.8929,1.1243,0.0919,1.0132,1.9357,1.3363,0.1972,1.0701,1.8870,1.2190,0.0960,0.5406,1.6231,1.5163
9503,0,0.1810,0.1008,0.4980,0.3743,0.9849,0.1236,0.6086,1.9697,1.2118,0.0914,1.0212,1.9352,1.3443,0.1986,1.0720,1.8874,1.2198,0.0912,0.5392,1.6230,1.5209
9507,0,0.2482,-0.0350,0.5257,0.4082,0.6524,0.0184,0.0937,1.1880,0.5054,0.1024,1.0468,1.8548,1.4263,0.1833,1.1397,1.8152,1.3037,0.1343,0.5990,1.6363,1.4664
9512,0,0.3449,-0.0655,0.4409,0.4380,0.5923,0.0029,0.0501,1.1025,0.4214,0.1099,0.9291,1.7162,1.2076,0.1903,1.0128,1.7033,1.1368,0.1483,0.4843,1.5683,1.3369
9515,0,0.1734,0.0435,0.5170,0.4642,0.6379,0.0506,0.1795,1.4141,0.5064,0.1452,0.8493,1.9166,1.1326,0.2582,0.9655,1.9439,1.0429,0.1110,0.3739,1.7477,1.5209
9516,0,0.1904,0.0762,0.4991,0.4942,0.7629,0.0898,0.3308,1.7190,0.7633,0.1495,0.8732,1.8934,1.1291,0.2580,0.9806,1.8967,1.0694,0.0971,0.4081,1.6988,1.5209
9517,0,0.1923,0.0844,0.4972,0.4900,0.7775,0.0880,0.3313,1.7054,0.7356,0.1534,0.8709,1.8720,1.1114,0.2622,0.9792,1.8711,1.0769,0.0991,0.4149,1.6668,1.5209
9518,0,0.2338,0.0885,0.4959,0.4901,0.7712,0.0810,0.3268,1.6828,0.6995,0.1540,0.8654,1.8548,1.1154,0.2641,0.9729,1.8554,1.0849,0.0992,0.4148,1.6663,1.5209
9519,1,0.2202,0.0453,0.4430,0.5510,0.7860,0.0941,0.3638,1.7305,0.8149,0.1445,0.8403,1.7955,1.2128,0.2485,0.9438,1.8091,1.1387,0.0959,0.4113,1.6627,1.5209
9522,0,0.2481,-0.2232,0.4413,0.4229,0.4165,0.0559,0.0224,0.8879,0.4856,0.1353,0.9101,1.7992,1.3141,0.2415,1.0754,1.7721,1.2478,0.1313,0.5231,1.5822,1.5166
9525,0,0.3024,-0.1378,0.5596,0.3858,0.5443,0.1419,0.3688,1.4347,0.7636,0.1210,0.9376,1.7984,1.3999,0.2195,1.0891,1.7210,1.3338,0.0819,0.6257,1.5030,1.5204
9526,2,0.2558,-0.0873,0.5751,0.3467,0.6658,0.0770,0.2958,1.3858,0.6907,0.1307,0.9810,1.8640,1.4721,0.2507,1.1055,1.7490,1.3777,0.0807,0.6161,1.4992,1.5216
9527,1,0.1736,-0.1601,0.5330,0.4051,0.4006,-0.0008,-0.1068,0.8359,0.1511,0.1199,0.9197,1.8100,1.3329,0.2795,1.0534,1.7082,1.3513,0.0550,0.5705,1.5936,1.4245
9528,1,0.2838,-0.1347,0.4778,0.5939,0.6162,0.0212,0.2957,1.4017,0.6272,0.1090,0.9986,1.7543,1.3392,0.2327,1.1332,1.6212,1.3826,-0.2602,0.6629,1.6408,0.9643
9529,0,0.1574,-0.0492,0.4561,0.6400,0.8937,0.0382,0.3918,1.6930,0.8297,0.1188,1.0451,1.7568,1.3303,0.2101,1.1544,1.6621,1.3068,-0.2206,0.6679,1.5902,1.0634
9531,1,0.4048,-0.1059,0.5004,0.4248,0.5676,0.1075,-0.0210,0.9427,0.4423,0.1542,0.8742,1.7341,1.1255,0.2646,0.9833,1.8172,1.0495,0.1395,0.4352,1.5796,1.4988
9534,0,0.2316,-0.0456,0.5139,0.4219,0.5884,0.1051,0.1953,1.3391,0.5778,0.1176,1.0208,1.8969,1.4307,0.2203,1.0933,1.8683,1.1287,0.1342,0.5557,1.6362,1.4989
9535,0,0.2891,0.0208,0.5159,0.4449,0.8413,0.1413,0.5754,1.9580,1.1802,0.1126,1.0289,1.9147,1.4097,0.2313,1.0783,1.8722,1.1283,0.0997,0.5452,1.6246,1.5195
9536,0,0.3308,0.0190,0.5046,0.4265,0.8693,0.1197,0.4881,1.7446,1.0130,0.1123,1.0406,1.9026,1.4242,0.2299,1.0916,1.8423,1.1644,0.1109,0.5609,1.6162,1.4955
9537,0,0.2627,-0.0339,0.4163,0.4078,0.5128,0.0938,0.2091,0.8741,0.4015,0.0488,0.8645,1.6596,1.0377,0.1970,0.9180,1.6201,0.8221,0.1237,0.5761,1.3220,1.2851
9538,0,0.2606,-0.1653,0.2784,0.6879,0.1917,0.1408,0.4640,0.1167,0.2972,-0.1215,0.8122,1.6932,0.3503,0.2004,0.8501,1.6870,0.1922,0.1458,0.9313,1.0216,1.3106
9539,1,0.2838,-0.2521,0.2096,0.9347,0.2367,0.1521,0.7249,0.4284,0.5830,-0.2191,0.8901,1.8788,0.0627,0.2201,0.9115,1.8766,-0.0823,0.1609,1.2109,0.9849,1.4507
9541,0,0.1443,0.0002,0.1380,0.0958,0.1235,0.0123,-0.0083,0.3227,0.0928,0.0241,0.2519,0.4651,0.3214,0.0521,0.2726,0.4613,0.2649,0.0402,0.1490,0.3963,0.3587
9542,0,0.4078,0.0033,0.4030,0.3073,0.5500,0.0798,0.3633,1.3076,0.7470,0.1045,0.8007,1.4013,0.9889,0.1573,0.8438,1.3546,0.8640,0.0921,0.4737,1.1743,1.1154
9543,0,0.2028,-0.0021,0.5060,0.4407,0.9330,0.1325,0.8040,1.9698,1.2973,0.1458,1.1460,1.8581,1.2806,0.2037,1.1783,1.7462,1.2437,0.1066,0.6955,1.5322,1.5139
9544,2,0.2055,-0.0174,0.4872,0.4503,0.9182,0.1477,0.6779,1.7623,1.0193,0.0537,1.1708,1.8283,1.2572,0.1967,1.2167,1.7017,1.2933,0.1255,0.7291,1.5136,1.5004
9545,0,0.2384,-0.0259,0.5235,0.4007,0.6778,0.1664,0.2832,1.3513,0.5741,0.0471,1.0848,1.8719,1.2738,0.2082,1.1589,1.7978,1.1885,0.1499,0.6457,1.5875,1.4446
